  cos(t)  v*J(Mon1) v*J(Mon2)    J*J
    -0.90000000     0.04171934     0.04010114     0.06331226
    -0.80000000     0.04394437     0.04389381     0.06083439
    -0.70000000     0.04606827     0.04677623     0.05532238
    -0.60000000     0.04829330     0.04930468     0.05188369
    -0.50000000     0.05259166     0.05203540     0.04925411
    -0.40000000     0.05506953     0.05623262     0.05031606
    -0.30000000     0.05769912     0.05739570     0.04839444
    -0.20000000     0.05987358     0.05876106     0.04844501
    -0.10000000     0.06154235     0.05810367     0.04713021
     0.00000000     0.05891277     0.05678887     0.04849558
     0.10000000     0.05785082     0.05668774     0.04667509
     0.20000000     0.05704172     0.05658660     0.04662453
     0.30000000     0.05410872     0.05694058     0.04677623
     0.40000000     0.05264223     0.05117573     0.04510746
     0.50000000     0.04854614     0.04763590     0.04414665
     0.60000000     0.04485461     0.04707965     0.04606827
     0.70000000     0.04176991     0.04541087     0.04262958
     0.80000000     0.04111252     0.04212389     0.04530973
     0.90000000     0.03812895     0.03878635     0.04364096
