  cos(t)  v*J(Mon1) v*J(Mon2)    J*J
    -0.90000000     0.03139882     0.03228671     0.07760917
    -0.80000000     0.03729115     0.03624183     0.06396804
    -0.70000000     0.04205343     0.04322383     0.06138510
    -0.60000000     0.04588748     0.04693680     0.05525063
    -0.50000000     0.05274841     0.05242554     0.05165873
    -0.40000000     0.05993220     0.06017435     0.05073049
    -0.30000000     0.06336266     0.06344338     0.04427315
    -0.20000000     0.06986036     0.06723707     0.04346598
    -0.10000000     0.07090968     0.06990072     0.04572605
     0.00000000     0.06885140     0.07171685     0.04031802
     0.10000000     0.06917427     0.06755993     0.04233594
     0.20000000     0.06501735     0.06267657     0.04245702
     0.30000000     0.05686496     0.06453305     0.03906691
     0.40000000     0.05347486     0.05173945     0.03870369
     0.50000000     0.04802648     0.04608927     0.03959157
     0.60000000     0.04217451     0.04120591     0.03769473
     0.70000000     0.03486964     0.03499072     0.03894584
     0.80000000     0.03269029     0.03192348     0.03995480
     0.90000000     0.02780693     0.02873517     0.03749294
