  cos(t)  v*J(Mon1) v*J(Mon2)    J*J
    -0.90000000     0.04082812     0.03646682     0.06379066
    -0.80000000     0.04235195     0.04387578     0.06016499
    -0.70000000     0.04429615     0.04734381     0.05664442
    -0.60000000     0.04918291     0.05002365     0.05422731
    -0.50000000     0.05470023     0.05291367     0.05238821
    -0.40000000     0.05575114     0.05427986     0.05217803
    -0.30000000     0.05811571     0.05843098     0.04934055
    -0.20000000     0.06321265     0.05827334     0.04839472
    -0.10000000     0.05969208     0.06263465     0.04844727
     0.00000000     0.06027009     0.05864116     0.04723872
     0.10000000     0.05837844     0.05879880     0.04624034
     0.20000000     0.05921917     0.05764279     0.04408597
     0.30000000     0.05580369     0.05701224     0.04319269
     0.40000000     0.05070674     0.05196784     0.04287741
     0.50000000     0.04776417     0.05212548     0.04455888
     0.60000000     0.04524197     0.04487415     0.04219431
     0.70000000     0.04172140     0.04151122     0.04461142
     0.80000000     0.04019757     0.03919920     0.04161631
     0.90000000     0.03378698     0.03714991     0.04256214
