  cos(t)  v*J(Mon1) v*J(Mon2)    J*J
    -1.00000000     0.03153546     0.03223366     0.07703497
    -0.90000000     0.03909932     0.03665561     0.06644557
    -0.80000000     0.04049572     0.03834293     0.06429278
    -0.70000000     0.04654681     0.04637226     0.05882353
    -0.60000000     0.04916507     0.04846686     0.05539070
    -0.50000000     0.05300518     0.05021237     0.05056147
    -0.40000000     0.05795078     0.05521615     0.05061965
    -0.30000000     0.05911445     0.06027812     0.04910688
    -0.20000000     0.06179089     0.06219817     0.04747774
    -0.10000000     0.06260546     0.06731832     0.04532495
     0.00000000     0.06464188     0.06545645     0.04520859
     0.10000000     0.06109269     0.06272182     0.04625589
     0.20000000     0.06074359     0.06167452     0.04334672
     0.30000000     0.05649619     0.05550707     0.04474312
     0.40000000     0.05550707     0.05341246     0.04317217
     0.50000000     0.04724501     0.04992145     0.04375400
     0.60000000     0.04142666     0.04608134     0.04206668
     0.70000000     0.03892477     0.04043754     0.04468494
     0.80000000     0.03700471     0.03566649     0.04160121
     0.90000000     0.03560831     0.03182638     0.04008844
