  cos(t)  v*J(Mon1) v*J(Mon2)    J*J
    -0.90000000     0.03108354     0.03277558     0.07689415
    -0.80000000     0.03766372     0.03697437     0.06542583
    -0.70000000     0.04167450     0.04242652     0.05846964
    -0.60000000     0.04769067     0.04787867     0.05640158
    -0.50000000     0.05364417     0.05408285     0.05138811
    -0.40000000     0.05658958     0.05959767     0.04794134
    -0.30000000     0.06298176     0.06461114     0.04386789
    -0.20000000     0.06636586     0.06880993     0.04549727
    -0.10000000     0.06956195     0.07263270     0.04631196
     0.00000000     0.07495143     0.06899793     0.04436924
     0.10000000     0.06837125     0.06692987     0.04248919
     0.20000000     0.06429780     0.06291910     0.03803973
     0.30000000     0.05922166     0.05815630     0.04292787
     0.40000000     0.05508554     0.05163878     0.03885442
     0.50000000     0.04900671     0.04812935     0.04092248
     0.60000000     0.03991978     0.04324121     0.03885442
     0.70000000     0.03365294     0.03728771     0.03709971
     0.80000000     0.03377828     0.02957949     0.03666103
     0.90000000     0.02776211     0.02701009     0.03885442
