  cos(t)  v*J(Mon1) v*J(Mon2)    J*J
    -0.90000000     0.03622273     0.03765786     0.07066590
    -0.80000000     0.03886338     0.03719862     0.06245695
    -0.70000000     0.04512055     0.04150402     0.05878301
    -0.60000000     0.04827784     0.04862227     0.05545350
    -0.50000000     0.05396096     0.05005741     0.05034443
    -0.40000000     0.05706085     0.06056257     0.05166475
    -0.30000000     0.06125144     0.06469575     0.04753157
    -0.20000000     0.06469575     0.06171068     0.04879449
    -0.10000000     0.06601607     0.06630310     0.04690011
     0.00000000     0.06504018     0.06509759     0.04253731
     0.10000000     0.06463835     0.06033295     0.04270953
     0.20000000     0.06067738     0.06526980     0.04420207
     0.30000000     0.06061998     0.05803674     0.04357061
     0.40000000     0.05051665     0.05413318     0.04265212
     0.50000000     0.04707233     0.05154994     0.04391504
     0.60000000     0.04161883     0.04087256     0.03995408
     0.70000000     0.04184845     0.03823192     0.03892078
     0.80000000     0.03409874     0.03340987     0.03869116
     0.90000000     0.03082664     0.03450057     0.04230769
