  cos(t)  v*J(Mon1) v*J(Mon2)    J*J
    -0.90000000     0.03101254     0.03255699     0.07679002
    -0.80000000     0.03453389     0.03817879     0.06560820
    -0.70000000     0.04423303     0.04701304     0.05825663
    -0.60000000     0.05016371     0.04837215     0.05572373
    -0.50000000     0.05232594     0.05201705     0.05275839
    -0.40000000     0.05714462     0.06041885     0.04960771
    -0.30000000     0.06597887     0.06054241     0.04583925
    -0.20000000     0.06906777     0.06814110     0.04528325
    -0.10000000     0.06826466     0.06980911     0.04293569
     0.00000000     0.06956199     0.06993266     0.04293569
     0.10000000     0.06622598     0.06826466     0.04027924
     0.20000000     0.06443442     0.06109841     0.04114413
     0.30000000     0.06035708     0.05794774     0.04126768
     0.40000000     0.05183172     0.05294372     0.03953790
     0.50000000     0.04639526     0.04553036     0.04034101
     0.60000000     0.04342991     0.04330636     0.03675789
     0.70000000     0.03879657     0.03756101     0.03910545
     0.80000000     0.03230988     0.03218632     0.04213258
     0.90000000     0.02761475     0.02817075     0.03953790
